"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Consent","age","gender","residing_country","Country_other","residing_province","residing_UK","residing_Colombia","residing_Bolivia","residing_Honduras","residing_CostaRica","residing_Nepal","birth_country","Q74","education","occupation","work_location","study_location","SSS_faml","sss_fair","sss_anger","relationship_status","dependents_no","live_alone","cohabiting_adults_no","cohabiting_kids_no_1","cohabiting_kids_no_2","cohabiting_kids_no_3","homeschooling","covid_self","identity_1_midneutral","identity_2_midneutral","identity_3_midneutral","identity_4_midneutral","perceived_stress_sca_1","perceived_stress_sca_2","perceived_stress_sca_3","perceived_stress_sca_4","perceived_stress_sca_5","perceived_stress_sca_6","perceived_stress_sca_7","perceived_stress_sca_8","perceived_stress_sca_9","perceived_stress_sca_10","Scale_SLON_1","Scale_SLON_2","Scale_SLON_3","primary_stressors_1","primary_stressors_2","primary_stressors_3","primary_stressors_4","secondary_stressors__1","secondary_stressors__2","secondary_stressors__3","secondary_stressors__4","secondary_stressors__5","secondary_stressors__6","secondary_stressors__7","secondary_stressors__8","secondary_stressors__9","secondary_stressors__10","secondary_stressors__11","secondary_stressors__12","secondary_stressors__13","secondary_stressors__14","perceived_support_1_midneutral","perceived_support_2_midneutral","perceived_support_3_midneutral","attention_check","compliance_1","compliance_2","compliance_3","compliance_4","compliance_5","compliance_6","compliance_7","compliance_8","socialinfluence_nor1_1","socialinfluence_nor1_2","socialinfluence_nor1_3","socialinfluence_nor1_4","socialinfluence_nor1_5","socialinfluence_nor1_6","socialinfluence_nor1_7","socialinfluence_nor1_8","socialinfluence_nor2_1","socialinfluence_nor2_2","socialinfluence_nor2_3","socialinfluence_nor2_4","socialinfluence_nor2_5","socialinfluence_nor2_6","socialinfluence_nor2_7","socialinfluence_nor2_8","vaccine_midneutral","vaccine_attitudes_9_midneutral","vaccine_attitudes_2_midneutral","vaccine_attitudes_3_midneutral","vaccine_attitudes_4_midneutral","vaccine_attitudes_5_midneutral","vaccine_attitudes_6_midneutral","trust_1","trust_2","trust_3","trust_4","trust_5","trust_6","trust_7","X0_preamble2","X0_closing","resilience_1","resilience_2","resilience_3","resilience_4","resilience_5","resilience_6","uncertainty_1","uncertainty_2","uncertainty_3","uncertainty_4","uncertainty_5","information_acquisit_1","information_acquisit_2","information_acquisit_3","information_acquisit_4","information_acquisit_5","information_acquisit_6","information_acquisit_7","information_acquisit_7_TEXT","misperception1_1","misperception1_2","misperception2_1","misperception2_2","misperception3_1","misperception3_2","conspirational_think_1","conspirational_think_2","conspirational_think_3","conspirational_think_4","antiexpert_1","antiexpert_2","antiexpert_3","moral.values_1_midneutral","moral.values_2_midneutral","moral.values_3_midneutral","moral.values_4_midneutral","moral.values_5_midneutral","moral.values_6_midneutral","moral.values_7_midneutral","moral.values_8_midneutral","moral.values_9_midneutral","moral.values_10_midneutral","moral.values_11_midneutral","emotions_1_midneutral","emotions_2_midneutral","emotions_3_midneutral","emotions_4_midneutral","emotions_5_midneutral","emotions_6_midneutral","emotions_7_midneutral","emotions_8_midneutral","test","vaccine_0neutral","identity_1_0neutral","identity_2_0neutral","identity_3_0neutral","identity_4_0neutral","perceived_support_1_0neutral","perceived_support_2_0neutral","perceived_support_3_0neutral","vaccine_attitudes_9_0neutral","vaccine_attitudes_2_0neutral","vaccine_attitudes_3_0neutral","vaccine_attitudes_4_0neutral","vaccine_attitudes_5_0neutral","vaccine_attitudes_6_0neutral","emotions_1_0neutral","emotions_2_0neutral","emotions_3_0neutral","emotions_4_0neutral","emotions_5_0neutral","emotions_6_0neutral","emotions_7_0neutral","emotions_8_0neutral","moral.values_1_0neutral","moral.values_2_0neutral","moral.values_3_0neutral","moral.values_4_0neutral","moral.values_5_0neutral","moral.values_6_0neutral","moral.values_7_0neutral","moral.values_8_0neutral","moral.values_9_0neutral","moral.values_10_0neutral","moral.values_11_0neutral","primary_stressors_1.NAppl","primary_stressors_2.NAppl","primary_stressors_3.NAppl","primary_stressors_4.NAppl","secondary_stressors__1.NAppl","secondary_stressors__2.NAppl","secondary_stressors__3.NAppl","secondary_stressors__4.NAppl","secondary_stressors__5.NAppl","secondary_stressors__6.NAppl","secondary_stressors__7.NAppl","secondary_stressors__8.NAppl","secondary_stressors__9.NAppl","secondary_stressors__10.NAppl","secondary_stressors__11.NAppl","secondary_stressors__12.NAppl","secondary_stressors__13.NAppl","secondary_stressors__14.NAppl","compliance_1.NAppl","compliance_2.NAppl","compliance_3.NAppl","compliance_4.NAppl","compliance_5.NAppl","compliance_6.NAppl","compliance_7.NAppl","compliance_8.NAppl","socialinfluence_nor1_1.NAppl","socialinfluence_nor1_2.NAppl","socialinfluence_nor1_3.NAppl","socialinfluence_nor1_4.NAppl","socialinfluence_nor1_5.NAppl","socialinfluence_nor1_6.NAppl","socialinfluence_nor1_7.NAppl","socialinfluence_nor1_8.NAppl","socialinfluence_nor2_1.NAppl","socialinfluence_nor2_2.NAppl","socialinfluence_nor2_3.NAppl","socialinfluence_nor2_4.NAppl","socialinfluence_nor2_5.NAppl","socialinfluence_nor2_6.NAppl","socialinfluence_nor2_7.NAppl","socialinfluence_nor2_8.NAppl","PSS_10_avg","PLON_3_avg","totals","PSUP_3_0neutral_avg","totals.1","PSUP_3_midneutral_avg","VAC_6_0neutral_positive","VAC_6_0neutral_negative","VAC_6_0neutral_avg","VAC_6_midneutral_positive","VAC_6_midneutral_negative","VAC_6_midneutral_avg","RES_6_avg","UNCER_5_total"
2021-06-10 11:12:35,2021-06-10 12:01:08,"IP Address",100,2912,TRUE,2021-06-10 12:01:08,"R_1jpkhUtW8KmodMM","anonymous","PL","I hereby consent to take part in the study",27,"Female","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"Poland",NA,"University degree (e.g., MA, MSc, BA, BSc)","Student,Full time employed","At home","At home",6,5,2,"Cohabitating",0,"No",1,0,0,0,NA,"No",7,6,5,5,1,1,2,1,3,1,3,3,1,1,0,0,0,0,1,3,0,1,0,0,0,0,0,1,NA,NA,0,0,NA,NA,0,7,7,7,"Strongly agree",7,7,1,3,1,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,6,NA,NA,NA,2,NA,NA,NA,5,7,7,7,2,2,7,2,3,3,2,7,0,8,"Next",NA,6,2,6,2,5,2,4,4,1,2,3,8,3,10,9,9,9,NA,NA,7,NA,2,NA,NA,1,1,6,3,2,4,3,2,6,4,6,5,1,7,7,5,5,5,1,2,2,5,2,2,4,5,5,NA,4,6,5,4,4,6,6,6,6,6,6,2,2,6,2,2,4,2,2,0,4,4,5,0,5,4,1,6,6,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not applicable answer","Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0,TRUE,6,TRUE,7,6,2,5.33333333333333,7,2,6.66666666666667,5.83333333333333,2.8
2021-06-10 12:05:04,2021-06-10 12:20:51,"IP Address",100,947,TRUE,2021-06-10 12:20:52,"R_pFPzduzRAIpdEjf","anonymous","PL","I hereby consent to take part in the study",27,"Male","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"Poland",NA,"Some University or equivalent 
(still ongoing, or completed a module or more, but did not graduate)","Self employed","At my workplace (other than home)",NA,5,3,2,"Cohabitating",0,"No",1,0,0,0,NA,"No",3,5,3,5,2,1,2,3,2,3,3,2,2,1,0,0,0,0,2,0,0,1,2,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,6,6,6,"Strongly agree",6,6,5,4,6,4,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,NA,5,6,4,4,2,4,5,0,4,3,2,3,0,7,"Next",NA,5,2,5,2,6,2,3,3,1,2,2,1,1,1,1,2,6,1,NA,6,NA,5,NA,NA,1,5,5,2,1,1,1,1,4,5,6,5,4,6,6,5,5,5,4,5,5,5,5,5,5,5,5,NA,4,3,4,3,4,5,5,5,5,0,0,2,0,4,4,4,4,4,4,4,4,4,0,4,5,4,0,5,5,4,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0,TRUE,5,TRUE,6,2.25,1,3.16666666666667,4.75,3,4.83333333333333,5.66666666666667,2.2
2021-06-10 12:26:33,2021-06-10 12:43:32,"IP Address",100,1019,TRUE,2021-06-10 12:43:33,"R_3nBJyDonilzXmLf","anonymous","EN","I hereby consent to take part in the study",29,"Male","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"South Africa",NA,"PhD / Doctorate","Full time employed","At home",NA,8,5,1,"Married",0,"No",1,0,0,0,NA,"Yes",6,4,2,6,4,3,4,3,4,1,3,3,4,1,1,1,3,2,3,1,3,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,6,6,6,"Strongly agree",4,7,7,7,2,NA,7,4,NA,NA,NA,NA,6,NA,6,NA,7,NA,NA,NA,NA,NA,NA,7,5,7,7,6,5,1,7,2,2,4,7,9,5,8,"Next",NA,7,2,6,2,6,2,4,4,1,5,3,1,5,9,1,6,6,NA,NA,7,NA,NA,1,NA,1,1,3,1,1,3,5,4,6,3,1,6,4,7,7,5,1,2,3,4,3,6,3,4,5,3,3,NA,4,5,0,2,5,5,5,5,6,6,5,4,1,6,0,3,5,3,0,4,3,3,5,3,1,5,0,6,6,4,1,2,3,NA,NA,NA,NA,"Not applicable answer","Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.66666666666667,TRUE,5,TRUE,6,5.75,2.5,5,6.75,3,6.16666666666667,6.16666666666667,3.4
2021-06-10 12:27:31,2021-06-10 12:54:34,"IP Address",100,1622,TRUE,2021-06-10 12:54:36,"R_Xv41Wkr6Xnh7SAF","anonymous","AR","I hereby consent to take part in the study",58,"Female","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon",NA,"Up to 12 years of school","Full time employed","At my workplace (other than home)",NA,8,7,1,"Married",0,"No",3,1,0,0,"Some of the time","No",7,7,7,7,2,2,2,3,4,2,2,2,3,2,0,0,0,3,4,1,3,NA,4,1,0,0,0,1,NA,NA,NA,NA,NA,NA,2,7,7,7,"Strongly agree",7,7,7,7,7,7,3,7,NA,NA,7,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,7,NA,5,7,7,7,3,2,7,0,5,5,5,9,3,5,"Next",NA,6,2,6,2,6,2,2,2,2,2,3,8,5,8,5,7,1,1,NA,7,NA,NA,2,2,NA,3,2,6,6,6,2,2,6,6,2,6,6,6,6,6,6,6,6,7,1,3,2,6,6,6,6,NA,4,6,6,6,6,6,6,6,6,6,6,3,2,6,6,1,3,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,NA,NA,NA,NA,"Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not applicable answer","Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0,TRUE,6,TRUE,7,6,2.5,5.16666666666667,7,2.5,6.5,6,2.2
2021-06-10 12:46:36,2021-06-10 13:00:06,"IP Address",100,810,TRUE,2021-06-10 13:00:08,"R_3EGc2BgrVqEulxn","anonymous","ZH-S","I hereby consent to take part in the study",28,"Female","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,"China",NA,"University degree (e.g., MA, MSc, BA, BSc)","Student",NA,"At home",4,4,4,"Cohabitating",0,"No",1,0,0,0,NA,"Yes",7,5,6,6,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,"Strongly agree",7,7,6,6,5,6,2,6,6,NA,NA,6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,4,6,6,7,6,4,6,8,8,8,8,6,7,9,"Next",NA,5,3,5,5,4,4,2,1,2,1,1,3,2,9,2,7,2,1,NA,6,NA,2,NA,NA,2,2,3,3,2,4,2,2,7,7,4,4,4,6,5,5,5,5,4,3,5,3,3,2,5,5,5,NA,3,6,4,5,5,5,5,5,5,5,6,5,0,5,3,4,3,3,2,4,4,4,6,6,0,0,0,5,4,4,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2,TRUE,5,TRUE,6,5.25,2.5,4.66666666666667,6.25,5,5.16666666666667,4.33333333333333,1.4
2021-06-10 12:46:09,2021-06-10 13:03:38,"IP Address",100,1048,TRUE,2021-06-10 13:03:39,"R_2QAItAR9NTpMV6o","anonymous","EN","I hereby consent to take part in the study",29,"Female","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"South Africa",NA,"University degree (e.g., MA, MSc, BA, BSc)","Self employed","At my workplace (other than home)",NA,5,1,4,"Married",1,"No",1,0,0,0,NA,"Yes",6,6,5,5,2,2,3,3,3,3,3,3,1,1,0,1,1,3,3,0,3,0,NA,2,0,0,1,1,NA,NA,NA,NA,NA,NA,1,7,7,7,"Strongly agree",7,7,6,6,5,7,3,3,NA,5,4,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,5,7,6,6,2,2,6,6,6,6,8,7,6,9,"Next",NA,6,4,5,3,3,3,4,4,2,2,2,1,8,3,3,10,10,1,NA,7,NA,NA,1,1,NA,2,4,3,3,2,1,1,7,7,2,4,5,6,6,6,2,2,5,2,2,5,3,3,5,4,4,NA,4,5,5,4,4,6,6,6,6,5,5,2,2,5,2,2,4,3,3,4,0,0,6,6,2,0,4,5,5,5,2,2,4,NA,NA,NA,NA,NA,"Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.666666666666667,TRUE,6,TRUE,7,5.25,2,4.83333333333333,6.25,2,6.16666666666667,4.66666666666667,2.8
2021-06-10 12:56:32,2021-06-10 13:08:16,"IP Address",100,703,TRUE,2021-06-10 13:08:17,"R_1FRnjtkDVChrGQP","anonymous","AR","I hereby consent to take part in the study",60,"Male","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon",NA,"Up to 9 years of school","Full time employed","At home",NA,7,7,2,"Married",0,"No",3,0,1,0,"Not at all","Yes",7,7,6,7,2,1,1,3,3,1,3,3,1,1,1,1,1,3,4,3,4,NA,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,2,6,7,7,"Strongly agree",NA,7,7,7,NA,7,2,7,NA,NA,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,5,7,6,6,5,6,7,3,3,3,4,8,4,9,"Next",NA,6,2,6,2,6,2,5,3,2,3,2,5,6,7,4,6,4,1,NA,NA,7,NA,5,NA,2,6,6,6,6,5,4,2,5,6,2,6,6,7,6,6,6,6,6,6,5,5,5,3,5,5,5,NA,4,6,6,5,6,5,6,6,6,5,5,4,5,6,5,4,4,4,3,4,4,4,4,5,2,5,5,6,5,5,5,5,5,NA,NA,NA,NA,"Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not applicable answer","Not applicable answer",NA,"Not applicable answer",NA,NA,NA,"Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,TRUE,5.66666666666667,TRUE,6.66666666666667,5.5,4.5,4.16666666666667,6.5,5.5,5.16666666666667,6,3
2021-06-10 13:10:31,2021-06-10 13:17:54,"IP Address",100,442,TRUE,2021-06-10 13:17:54,"R_3sp6JAy0dPvo6SA","anonymous","AR","I hereby consent to take part in the study",33,"Female","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon",NA,"University degree (e.g., MA, MSc, BA, BSc)","Full time employed","At home",NA,8,7,1,"Married",1,"No",1,1,0,0,"Not at all","No",7,7,6,7,3,3,3,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,6,6,6,"Strongly agree",7,7,7,7,7,7,2,7,NA,NA,NA,NA,NA,NA,7,7,7,NA,7,NA,NA,NA,NA,NA,5,7,7,7,2,7,7,2,2,2,3,7,2,8,"Next",NA,6,6,2,2,6,3,3,4,3,3,3,5,5,6,3,3,8,NA,NA,NA,7,NA,4,5,NA,6,6,6,6,3,3,2,2,6,3,6,6,7,7,6,6,6,6,3,2,5,5,3,5,5,5,NA,4,6,6,5,6,5,5,5,6,6,6,2,6,6,3,2,4,4,3,4,4,4,2,5,3,5,5,6,6,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not applicable answer","Not applicable answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1,TRUE,5,TRUE,6,6,4,4.66666666666667,7,4.5,5.83333333333333,4.5,3.2
2021-06-10 12:42:58,2021-06-10 13:18:37,"IP Address",100,2139,TRUE,2021-06-10 13:18:38,"R_2DZEgqnQCxf8NjQ","anonymous","AR","I hereby consent to take part in the study",34,"Male","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,"Lebanon",NA,"University degree (e.g., MA, MSc, BA, BSc)","Full time employed,Self employed","At home",NA,8,7,1,"Married",2,"No",1,1,0,0,"Most of the time","No",7,7,7,7,2,1,1,1,1,1,1,2,2,1,0,0,0,4,1,2,1,1,1,1,0,0,1,2,NA,NA,NA,NA,1,1,1,6,6,6,"Strongly agree",7,7,4,7,3,6,2,7,NA,NA,3,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,2,NA,5,7,6,4,6,4,6,1,3,4,6,7,4,8,"Next",NA,6,2,6,2,6,2,2,4,2,2,3,6,6,3,6,6,9,1,NA,5,NA,NA,3,4,NA,4,4,4,4,6,6,2,6,6,2,4,6,6,5,6,6,5,6,4,4,6,3,3,6,6,6,NA,4,6,6,6,6,5,5,5,6,5,0,5,0,5,0,0,5,3,3,5,5,5,5,5,2,0,5,5,4,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0,TRUE,5,TRUE,6,4,2.5,3.83333333333333,5.75,5,4.83333333333333,6,2.6
2021-06-10 13:06:10,2021-06-10 13:24:46,"IP Address",100,1116,TRUE,2021-06-10 13:24:47,"R_OktKeseF58eIofL","anonymous","ES-CR","I hereby consent to take part in the study",38,"Male","Costa Rica",NA,NA,NA,NA,NA,NA,"Alajuela",NA,"Costa Rica",NA,"PhD / Doctorate","Full time employed","At home",NA,7,3,1,"Married",1,"No",1,0,0,0,NA,"Yes",3,3,1,3,1,0,2,4,3,1,3,3,1,0,2,1,2,2,1,3,1,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,3,"Strongly agree",7,7,2,1,2,5,7,6,NA,7,NA,NA,NA,NA,NA,5,7,NA,NA,3,NA,NA,NA,NA,5,7,7,5,6,2,6,0,0,9,10,0,0,9,"Next",NA,5,3,5,3,4,3,4,3,1,3,3,8,10,8,1,7,10,NA,NA,7,NA,NA,1,4,NA,1,7,5,3,4,1,1,5,7,1,1,6,7,7,7,1,1,1,3,1,7,3,1,5,5,5,NA,4,3,3,1,3,3,3,3,6,6,4,5,2,5,3,1,6,3,1,4,4,4,4,6,1,1,5,6,6,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.66666666666667,TRUE,3,TRUE,3,5.25,3.5,4.33333333333333,6.25,4,5.5,4.83333333333333,2.8
