sex,age,H1,F1,I1,A1,P1,Z1,H2,F2,I2,A2,P2,H3,F3,I3,A3,P3,H4,F4,I4,A4,P4,Z2,H5,F5,I5,A5,P5,H6,F6,I6,A6,P6
male,22,5,5,2,3,4,0,2,3,4,2,4,5,5,2,3,2,3,5,3,4,5,5,5,5,2,1,1,5,0,0,2,2
male,56,4,5,1,1,1,0,4,5,1,0,4,5,5,2,3,4,5,4,3,4,3,5,3,4,2,2,3,2,3,2,4,3
male,48,5,5,2,4,4,3,5,5,5,4,4,5,5,5,4,5,5,5,4,4,4,5,5,5,3,3,3,4,3,1,1,3
female,20,2,3,1,2,4,1,2,4,4,5,4,5,4,3,5,2,4,5,4,4,2,5,4,5,3,3,4,5,4,1,5,4
female,18,4,4,3,4,4,0,2,4,3,2,4,4,4,1,3,3,4,4,5,5,4,5,3,4,4,3,3,4,2,3,3,3
female,21,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,0,4,3,1,4,2,5,0,3,1,0,2,1,1,1,1,0
female,22,4,5,3,2,4,0,4,5,4,1,4,5,5,4,3,0,5,5,3,4,3,5,3,5,4,3,3,3,2,2,2,1
female,23,5,5,3,4,4,0,4,5,4,2,3,5,5,3,3,1,5,4,3,5,2,5,4,5,4,3,3,4,0,1,4,1
female,22,4,5,2,2,4,1,3,4,3,2,2,3,4,4,4,1,4,3,2,5,3,4,5,4,3,3,1,1,2,3,2,2
female,20,4,4,2,3,1,4,4,4,4,4,4,4,4,4,4,0,3,5,5,5,5,5,1,4,4,4,3,4,2,2,4,3
male,19,4,4,4,5,5,2,4,3,4,3,4,5,5,4,4,1,4,5,4,4,4,4,5,4,5,2,5,0,4,2,2,4
female,21,4,5,3,4,3,0,3,4,4,2,3,4,5,4,4,2,4,4,4,5,4,5,3,4,5,3,4,5,1,5,4,4
female,20,4,3,2,3,4,1,2,3,3,2,2,4,4,2,4,0,3,3,5,4,3,5,2,4,4,4,2,4,2,2,5,2
male,19,5,5,0,2,2,0,3,5,0,0,0,5,5,2,1,0,4,4,4,3,1,5,2,3,4,1,0,5,1,1,0,0
female,22,3,4,2,2,3,0,2,4,2,1,3,5,5,3,3,3,4,4,5,5,4,5,5,5,4,3,3,5,2,1,4,1
male,21,1,3,1,1,0,2,4,5,3,1,1,4,4,2,3,0,3,4,1,3,0,5,4,4,1,3,2,5,4,1,2,1
female,26,4,4,1,3,5,0,5,5,3,3,3,5,4,4,3,3,5,5,4,5,4,5,5,4,4,0,3,3,1,1,1,3
female,20,4,5,4,5,5,1,5,5,5,3,5,5,5,3,4,2,4,4,5,4,5,5,4,4,4,3,3,5,2,2,4,0
female,21,4,3,3,2,3,0,1,2,3,3,4,5,3,3,2,1,4,2,5,4,3,5,3,2,2,4,1,5,0,4,4,1
female,22,4,3,3,4,4,1,4,4,3,3,3,4,4,4,3,3,4,4,4,4,3,5,4,4,4,4,4,4,3,4,4,4
male,19,3,4,5,1,1,1,2,3,2,3,3,3,3,3,1,2,1,2,1,3,3,4,3,2,3,4,3,2,4,3,4,3
male,21,3,5,3,4,3,0,3,5,5,4,3,4,4,4,5,1,4,5,3,4,0,4,0,4,5,3,4,0,4,4,2,1
female,20,4,4,1,2,4,0,3,4,4,1,2,4,4,2,4,2,4,5,1,3,2,5,3,2,1,1,2,4,1,3,3,2
female,19,4,4,3,3,4,1,5,4,3,3,4,5,4,4,4,2,5,3,5,5,3,4,4,4,4,4,3,4,2,2,3,3
female,20,5,5,1,3,5,0,4,4,3,2,1,4,4,3,5,0,4,5,3,5,5,5,3,3,0,0,3,5,0,1,0,0
female,20,4,4,1,2,3,0,3,4,4,1,2,5,4,2,2,0,3,3,3,4,2,5,2,3,3,2,1,5,4,3,3,5
female,21,4,4,3,3,4,1,5,5,4,2,3,5,5,3,1,3,4,5,3,4,2,5,3,4,3,3,3,5,2,2,3,1
male,20,5,5,1,3,4,0,3,5,4,1,3,5,5,4,5,1,4,5,2,3,2,4,4,2,4,1,1,4,4,2,0,4
female,20,5,3,2,3,5,0,4,5,4,1,5,5,5,5,5,3,5,5,5,5,5,5,3,4,5,5,3,3,0,3,3,1
male,21,4,2,4,4,2,1,4,2,5,3,1,2,5,4,5,0,4,5,5,5,0,3,2,5,5,4,0,0,0,4,5,0
female,19,5,4,2,5,4,1,5,5,5,3,2,4,5,4,3,3,4,5,3,5,4,4,4,4,4,1,4,4,3,3,4,3
female,19,2,2,2,3,3,0,3,3,2,1,2,2,4,2,2,1,4,5,3,3,4,5,5,4,5,3,4,5,3,3,1,3
female,19,3,2,1,2,3,0,3,4,2,1,1,4,3,3,3,1,4,4,3,4,1,5,4,3,2,1,2,4,4,1,3,1
male,18,4,4,3,2,3,1,2,2,4,0,1,4,4,4,2,3,5,4,5,4,2,5,5,4,3,4,2,2,2,3,3,4
female,18,4,4,1,2,2,0,4,4,3,0,3,3,5,3,3,0,3,3,1,4,3,5,3,3,3,0,1,5,4,1,2,1
female,20,5,5,2,4,5,0,4,5,5,3,3,5,5,4,4,5,4,5,1,3,1,5,2,5,1,4,0,5,3,5,4,3
female,18,4,4,1,3,1,0,3,4,3,0,1,4,5,1,3,0,4,5,3,4,0,4,3,3,2,0,0,5,3,1,2,1
male,18,3,4,3,3,5,5,3,4,3,1,3,4,5,1,3,1,4,5,3,4,2,5,3,4,1,1,1,5,4,1,2,1
female,18,5,5,1,4,1,0,3,4,4,1,1,5,3,3,4,0,4,5,3,5,3,5,4,5,0,0,2,5,3,3,0,0
female,18,5,4,0,4,3,0,2,4,2,1,1,3,2,2,3,0,3,5,3,5,2,4,3,3,2,3,1,4,2,1,3,3
female,19,4,4,1,3,2,2,3,4,4,1,3,4,5,3,4,1,3,4,0,5,3,5,5,4,4,3,3,4,4,0,4,3
female,18,2,2,3,4,4,0,2,5,3,3,3,5,4,4,3,0,3,4,2,2,2,3,3,3,4,2,1,4,3,1,2,0
male,18,3,3,1,4,2,0,1,4,4,1,4,5,5,2,4,0,3,5,5,4,4,5,3,4,4,3,2,1,4,3,4,2
female,18,3,5,1,3,3,0,5,4,4,1,2,3,5,5,2,0,2,4,4,5,2,5,5,3,1,1,0,2,3,2,1,2
female,18,3,4,2,1,4,0,3,4,4,3,1,4,4,2,3,1,4,5,3,3,3,5,3,3,2,2,2,5,3,3,3,3
female,18,5,5,1,4,4,0,5,4,4,1,4,5,5,4,3,0,5,5,3,4,3,4,4,3,3,1,3,5,3,3,3,0
male,18,4,2,3,4,4,0,2,2,4,1,4,4,5,3,3,0,4,5,5,5,4,4,5,3,3,2,2,2,1,1,4,2
male,23,3,3,0,2,1,0,3,4,0,1,1,4,4,2,3,0,2,5,4,3,1,4,4,4,3,3,2,2,2,1,1,1
NA,18,4,3,2,2,3,0,4,4,4,2,3,4,3,3,3,1,4,4,3,4,2,5,5,4,4,4,4,5,1,3,1,2
female,21,5,5,3,5,2,3,3,4,4,0,4,5,5,3,4,0,5,5,1,4,2,4,5,4,2,0,0,5,0,0,3,1
female,20,4,4,2,3,5,1,5,3,3,3,4,5,4,2,2,5,5,4,2,5,3,5,3,2,2,3,4,5,3,5,2,4
male,21,1,2,1,4,2,0,4,4,4,1,4,3,4,1,3,0,3,5,1,4,2,5,3,2,5,4,1,5,5,5,1,2
male,21,4,4,0,0,0,3,4,4,2,1,1,4,4,1,2,0,4,4,0,1,1,5,5,4,3,0,0,4,5,3,0,0
female,22,4,4,1,3,3,1,5,5,3,2,5,5,5,4,3,2,4,5,0,3,2,5,4,4,4,0,0,5,3,1,0,0
male,22,4,3,0,4,2,1,3,2,2,1,2,2,5,3,2,0,1,1,5,5,4,5,0,1,4,3,0,5,0,1,0,0
female,22,5,4,1,2,1,0,5,4,2,2,1,4,4,3,1,0,1,4,0,3,1,5,3,2,1,0,1,5,5,5,0,0
female,21,3,3,1,4,4,3,3,4,4,1,2,3,3,4,4,0,4,2,1,4,4,5,1,5,3,0,2,5,3,1,2,0
female,20,3,5,1,3,3,0,2,3,2,0,3,5,4,1,2,0,4,5,2,4,2,5,5,2,0,3,0,4,4,2,2,0
female,20,5,5,2,3,4,1,4,5,3,2,2,3,5,2,4,3,3,5,3,4,3,5,3,5,4,3,2,5,3,3,2,2
female,27,4,4,1,3,0,3,4,5,4,0,5,5,4,3,4,0,5,5,2,5,5,5,4,4,0,1,0,2,1,2,1,0
female,20,4,4,3,1,2,1,2,4,2,0,3,5,5,2,3,0,2,3,3,3,2,5,1,3,1,2,2,2,4,3,3,0
male,21,3,4,1,3,2,1,1,2,4,1,2,1,5,3,3,0,5,5,5,5,3,3,3,3,2,3,1,2,2,2,2,2
male,18,3,3,1,4,2,0,3,4,3,3,1,4,5,1,4,1,4,4,4,4,1,5,3,4,4,2,2,4,2,3,3,1
female,21,3,3,0,1,4,2,4,5,3,3,3,5,5,4,4,0,2,5,1,1,0,4,5,3,4,0,0,5,2,3,0,0
male,19,4,4,0,2,1,0,3,5,4,1,2,5,5,2,3,1,3,4,0,3,3,5,5,4,3,4,2,0,5,1,2,0
female,19,4,4,1,4,3,0,4,3,3,3,3,4,5,3,3,0,4,5,4,3,3,5,5,1,4,0,1,1,3,1,3,0
female,18,5,5,1,1,5,0,5,5,1,1,4,5,5,1,3,0,4,5,3,4,4,5,5,0,1,0,0,5,3,0,0,0
female,18,5,5,0,1,1,0,5,5,2,0,0,3,5,2,4,0,4,4,1,3,0,5,3,4,1,0,0,1,2,1,1,0
female,18,4,4,2,2,3,0,3,3,2,3,3,4,4,2,3,0,2,4,1,3,3,5,3,3,2,1,2,2,3,1,3,0
female,23,3,3,0,0,0,0,1,2,1,1,1,3,4,1,1,0,3,4,0,0,0,3,3,3,0,0,1,1,3,1,0,0
male,54,3,2,1,1,3,0,2,3,1,2,4,5,5,2,5,2,3,4,4,3,3,5,3,3,3,3,4,4,3,2,2,2
female,56,4,4,3,3,4,0,5,5,4,3,4,5,4,4,4,1,4,4,3,4,4,5,4,4,4,2,3,3,1,2,3,5
male,23,4,3,0,0,3,0,4,4,3,1,0,4,4,2,3,0,5,4,4,3,0,5,0,4,2,3,1,5,1,0,4,0
male,27,3,4,1,3,4,3,3,4,4,0,3,4,5,3,2,1,3,5,3,4,3,5,3,5,5,3,1,5,1,2,3,3
male,27,2,0,3,4,5,0,2,3,3,3,0,1,4,3,1,0,1,5,5,5,0,5,3,4,3,5,5,0,0,0,4,4
male,27,3,3,4,4,5,3,3,4,5,2,5,4,5,3,5,0,4,5,5,5,5,5,4,4,1,0,0,5,1,3,4,1
male,25,3,3,3,3,3,3,4,3,3,4,3,4,4,3,3,4,4,4,3,4,3,5,5,4,1,1,4,3,2,2,4,3
male,25,3,3,2,1,4,0,5,4,5,2,4,1,4,4,3,2,2,5,4,3,3,4,3,5,4,4,3,4,3,2,3,2
male,24,4,4,4,4,4,1,4,4,4,2,2,2,4,2,2,2,4,5,5,5,2,4,3,5,3,4,4,3,3,2,1,3
female,24,4,4,1,2,3,0,3,5,5,0,2,5,5,5,5,0,5,5,5,4,0,5,5,5,4,1,1,5,2,3,5,0
male,27,4,5,1,2,3,0,0,4,5,0,1,4,5,4,1,0,3,5,5,5,3,5,3,4,5,5,2,5,0,3,4,1
female,26,5,3,1,3,4,0,5,2,5,3,3,4,5,2,3,2,5,4,4,4,2,5,5,2,2,5,1,3,0,0,0,2
male,28,3,3,3,3,3,0,0,2,2,1,4,4,4,3,4,0,3,3,4,5,1,3,2,3,3,2,4,2,2,2,0,2
male,26,4,3,3,4,4,1,4,4,3,2,3,4,4,3,3,0,3,4,4,5,0,5,5,5,4,5,4,4,0,3,4,2
female,21,2,4,1,2,2,1,4,4,3,2,4,5,2,2,5,1,4,5,3,5,5,5,5,4,3,2,3,3,1,1,2,3
female,21,3,3,1,2,2,1,2,3,4,1,1,4,4,4,4,0,5,5,4,5,1,5,5,5,2,2,1,2,2,2,2,2
female,22,4,4,2,3,4,1,4,4,2,2,4,5,5,2,4,2,4,4,4,4,2,5,1,3,3,4,3,3,5,2,3,1
male,24,4,2,0,2,4,0,5,3,4,1,2,5,5,4,4,0,4,5,3,4,2,5,4,5,5,2,3,4,4,1,3,0
female,24,4,4,0,2,1,0,3,4,2,0,1,4,4,1,1,1,3,4,3,3,0,5,1,3,1,2,1,4,4,0,0,0
female,27,4,4,3,3,4,1,3,4,3,1,2,3,3,3,3,0,3,4,3,3,1,3,1,1,1,1,1,3,2,2,1,1
female,23,5,4,1,3,4,0,4,4,2,1,2,5,5,4,3,1,5,5,1,4,2,5,5,5,4,3,1,5,3,3,3,2
female,22,0,4,2,3,5,0,4,5,5,3,2,4,5,4,5,2,5,5,4,4,1,1,5,5,4,1,2,1,4,4,4,3
male,23,3,4,0,4,1,1,2,1,4,1,4,3,3,4,2,0,0,2,5,5,0,4,0,5,5,5,3,0,0,2,2,2
male,23,5,5,0,0,5,0,4,4,3,2,1,4,5,2,5,0,3,5,5,5,0,5,0,4,5,3,5,0,0,0,5,0
male,23,3,1,1,1,4,0,1,1,1,1,0,1,3,1,2,0,1,3,3,3,2,5,3,4,1,0,1,3,3,2,3,1
female,24,4,3,2,1,2,0,3,4,4,2,2,3,4,3,2,1,4,4,4,4,3,5,3,5,3,2,4,5,2,2,3,2
female,22,5,4,2,4,4,1,4,4,4,3,5,5,2,2,4,2,5,5,1,4,4,5,5,4,2,2,2,5,3,2,3,2
male,23,4,3,1,1,3,3,1,3,3,1,2,4,3,3,2,0,3,4,1,4,2,5,1,3,2,3,1,1,2,2,1,0
female,23,5,4,1,3,5,1,5,5,4,1,4,5,4,3,5,0,5,5,2,3,5,5,5,5,3,1,1,5,5,1,0,5
male,28,5,4,3,2,3,0,3,3,2,1,0,4,4,1,1,0,4,5,1,1,0,5,0,3,3,3,0,0,4,1,1,0
female,21,4,4,1,2,3,1,3,3,3,1,2,5,5,3,3,1,3,4,1,3,2,4,3,3,0,3,1,1,0,2,4,1
female,21,3,5,0,4,1,0,3,4,3,1,1,5,5,2,4,0,3,4,1,4,0,5,2,4,1,3,0,1,2,2,3,0
female,21,4,4,3,4,4,1,0,5,3,2,3,4,4,3,4,2,5,4,4,4,3,5,0,4,4,3,4,1,3,2,4,1
female,21,5,5,1,1,3,0,5,5,0,1,0,0,0,0,0,0,5,4,0,0,1,4,5,5,3,1,0,5,1,1,1,1
female,21,5,4,3,3,4,0,5,5,3,3,4,5,4,3,4,2,5,5,2,4,2,5,5,3,1,3,4,4,3,1,2,1
male,20,4,5,0,2,4,0,4,4,3,3,0,3,4,1,1,0,4,4,2,3,1,5,1,3,4,4,3,5,2,0,3,0
male,21,5,3,2,1,2,0,3,4,4,0,3,5,5,4,4,0,1,3,0,3,2,5,0,1,3,2,1,1,3,1,4,1
female,22,4,4,2,4,4,0,5,4,3,3,3,4,5,4,4,1,4,4,3,4,3,5,3,5,5,4,3,4,2,2,3,3
