scale_folder,data_file,item_cols,n_items,response_min,response_max,valid
BISBAS,BISBAS_Binter.xlsx,10:29,20,1,4,TRUE
BISBAS,BISBAS_Jonker.sav,"(23:46)[-c(1,6,11,17)]",20,1,4,TRUE
BISBAS,BISBAS_Khaliq.sav,"(298:321)[-c(1,6,11,17)]",20,1,4,TRUE
BISBAS,BISBAS_Molenda.sav,"(34:57)[-c(1,6,11,17)]",20,1,4,TRUE
BISBAS,BISBAS_Rutten.csv,257:276,20,1,4,TRUE
BISBAS,BISBASdata_Dierickx.sav,"c(3:6,8:11,13:17,19:25)",20,1,4,TRUE
Beliefs,Beliefs_Barnby.csv,"seq(10, ncol(.df), 3)",NA,1,7,FALSE
Compulsivity Muela,compulsivity_gambling_Muela.xlsx,10:99,90,1,5,TRUE
Compulsivity Muela,compulsivity_videogames_Muela.xlsx,10:99,90,1,5,TRUE
CovidStress,Final_COVIDiSTRESS_Vol2_cleaned.csv,111:117,7,1,6,TRUE
DASS-21,dass21_Thiyagarajan.xlsx,9:29,21,0,3,TRUE
DOSPERT,DOSPERT_Frey.csv,"c(3:8,21:26,39:44,57:62,75:80)",30,1,7,TRUE
Depression,BDI-II_Garcia_Batista.sav,3:23,21,0,3,TRUE
Depression,BDI-II_Rabeya.xlsx,17:37,21,0,3,TRUE
Depression,BDI-II_Smith.sav,49:68,20,0,3,TRUE
Depression,depression_Sandoval.xlsx,27:47,21,0,3,TRUE
Emotion regulation DERS,DERS_Valencia.sav,8:43,36,1,5,TRUE
Emotional intelligence,AES_Anglim.csv,254:286,33,1,5,TRUE
Emotional intelligence,AES_Demetrovics.sav,38:70,33,1,5,TRUE
Emotional intelligence,AES_Demetrovics2.sav,44:76,33,1,5,TRUE
Emotional intelligence,AES_Rua.xlsx,5:37,33,1,5,TRUE
Emotional intelligence,Bainbridge_s2_IRI.csv,224:239,16,1,5,FALSE
Emotional intelligence,EI_Brienza.sav,283:298,16,1,5,TRUE
Emotional intelligence,EI_Robinson.xlsx,2:17,16,1,5,TRUE
Emotional intelligence,IRI_Stosic.xlsx,2:29,28,0,4,TRUE
Emotional intelligence,Martingano_IRI.sav,187:214,28,0,4,TRUE
Emotional intelligence,TEIQue_Perazzo.sav,4:33,30,1,7,TRUE
Emotional intelligence,TEIQue_Perez-Diaz.csv,1:30,30,1,7,TRUE
FFMQ,Chile.sav,22:60,39,1,5,TRUE
FFMQ,Germany.sav,16:54,39,1,5,TRUE
FFMQ,Hong Kong.sav,17:55,39,1,5,TRUE
FFMQ,India.sav,8:46,39,1,5,TRUE
FFMQ,Norway.sav,5:43,39,1,5,TRUE
FFMQ,Poland.xlsx,1:39,39,1,5,TRUE
FFMQ,Portugal.sav,2:40,39,1,5,TRUE
FFMQ,Romania.xlsx,7:45,39,1,5,TRUE
FFMQ,Spain.sav,3:41,39,1,5,TRUE
FFMQ,australia.sav,3:41,39,1,5,TRUE
FFMQ,austria.sav,5:43,39,1,5,FALSE
FFMQ,croatia.sav,4:42,39,1,5,TRUE
FFMQ,sweden.sav,6:44,39,1,5,TRUE
